Name,Description,Location_Type,Street / Location,City / Town,Parish / State,Community,Region / District,Country,_Location_latitude,_Location_longitude,_Location_altitude,_Location_precision,Images,Type of Accomodations,Number of Rooms,Type of Attraction,Describe the types of activities offerred,Natural Attraction?,Type of Event,Event Start (date & time),Event End (date & time),Type of transportation,Number of Vehicles,Type of Service,Describe the types of activities offerred with this service,"Next, capture the main picture for the location; For additional pictures click ""Add Group"" on the subsequent screens",Number of Rooms
Welcoming vybz,This is a wonderful accomdation with a breathtaking view of the caribbean sea. Great for having a morning cup of coffee.,Accomodation,Church road,,St. Elizabeth,Treasure beach,Frenchman,Jamaica,17.887421,-77.7629446,42.70000076293945,5.0,1557008659186.jpg,Guest House,3,,,,,,,,,,,,
CALVARY ASSEMBLE OF GOD,Calvary Assemble of God is a temple of God where one can go to part take in their praise and worship of the lord Jehovah God.,Services,Church road,,St. Elizabeth,Treasure beach,Frenchman,Jamaica,17.8871132,-77.7639855,10.199999809265137,5.0,1557007568930.jpg,,,,,,,,,,,other,"Activties inlude:
Praise and worship, baptisam and deliverance",,
The Buccaneer Villa,,Accomodation,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8907913,-77.7794087,8.0,5.0,1556951267333.jpg,Villa,4,,,,,,,,,,,,
Villa Hikura,,Accomodation,,,St. Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8917357,-77.7815759,9.600000381469727,5.0,1556949300674.jpg,Villa,4,,,,,,,,,,,,
Pelican,,Accomodation,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8887012,-77.7783156,-2.9000000953674316,5.0,1556950518322.jpg,Villa,3,,,,,,,,,,,,
Beacon ball ground,A large sporting field with the capacity of hosting football and cricket matches. Also a great venue for the hosting of parties.,Event,,,St. Elizabeth,Treasure beach,Beacon,Jamaica,17.901547,-77.743475,85.4000015258789,5.0,1557057614559.jpg,,,,,,SPORTS,,,,,,,,
Nuestra Casa Villa,,Accomodation,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8912264,-77.7792487,-27.5,5.0,1556951367628.jpg,Villa,5,,,,,,,,,,,,
Great bay beach,Great view of the caribbean sea with a fun filled experience. Great spot for a family fun day or even beach games and water parties.,Attraction,,,St. Elizabeth,Treasure beach,Great bay,Jamaica,,,,,,,,Beach,"Great view of the caribbean sea with a number of bars, restaurants and crafts shop",Yes,,,,,,,,,
Villa Elegance Bar & Grill,,Services,,,St.Elizabeth,Treasure Beach,Billy's Bay,Jamaica,17.8909957,-77.7789438,-18.700000762939453,4.0,1556951112300.jpg,,,,,,,,,,,other,,,
Charmaine's blessed shop,"A shop were you can get a variety of items,  which also includes the coldest Redstripe in town",Services,Frenchman,Treasure beach,St.Elizabeth,Treasure beach,Frenchman district,Jamaica,17.8815669,-77.7637463,-4.099999904632568,4.5,1557064972960.jpg,,,,,,,,,,,other,"Tell best place to get an authentic escovitc fish served with a warm friendly smile and to wash it all down an ice cold redstripe, the coldest in town!",,
